mapped_taxid	genome_taxids:kmers_mapped:total_genome_kmers
28221	338966:339:4240900 56780:118:3179227 391774:7:3661245 96561:33:3944094 398767:238:3994728 882:7:3773013 448385:18:13033706 243231:140:3814055 335543:9349:4990178 207559:10522:3730159 177439:707:3659415 338963:284:3665820 363253:16:1718722 290397:88:5013406 269799:164:4011036 404589:80:5277917 351605:226:5136291 264462:8:3782877 246197:600:9139690 
444157	444157:1740812:1769750 
114615	114615:7407910:7456514 
262724	262724:940473:2127336 
373384	373384:274348:4574211 
2276	384616:28679:1826329 340102:9638:2121003 410359:3612:2009240 444157:28706:1769750 178306:11805:2222357 
444178	444178:382219:3275444 
262723	262723:786434:799403 
2272	399550:163:1570412 272557:186:1669623 453591:77:1297465 
351627	351627:2965845:2970202 
444179	444179:245389:245457 
161492	404589:4221:5277917 290397:4212:5013406 
335541	335541:2935547:2936122 
91061	516950:4236:2209125 210007:495:2032852 293653:594:1838489 370552:594:1928179 370553:594:1860282 321956:1308:1856878 370551:594:1836394 370554:594:1937038 314315:1743:1884588 315750:2177:3704392 224308:3140:4215533 288681:3928:5842797 272558:1890:4202279 299768:1335:1796153 388919:392:2388362 426430:771:2878824 193567:495:1894202 222523:3689:5432506 226900:3906:5426937 420246:2101:3607866 367830:909:2917177 171101:492:2038542 349519:100:1896249 412694:4270:5312884 196620:919:2820389 265669:2300:2905114 226185:23032:3359682 279808:20289:2684942 334390:487:2098612 390333:1211:1864925 282459:1008:2820308 282458:824:2902546 273036:755:2742458 257314:1078:1992603 286636:594:1899804 261594:3295:5503707 170187:492:2160769 373153:492:2046042 299033:308:1999545 279010:4777:8445096 467705:512:2196589 169963:2303:2944455 444177:3698:4817317 342451:1246:2577680 281309:4282:5314648 176279:12570:2643694 221109:2110:3630455 405566:588:2080858 235909:1169:3592520 262543:2187:3040567 272622:5822:2597910 272626:7944:3092967 220668:946:3348332 186103:594:1894944 176280:734:2564104 208435:2561:2160194 362948:1124:2133685 387344:646:2340009 264199:1209:1796773 93062:1000:2813716 93061:771:2821288 198094:3295:5227220 198466:594:1900448 386043:2330:2814057 272621:565:1993487 66692:1448:4303798 272623:180:2365516 319701:594:1897500 205921:882:2127766 359786:3495:2936983 359787:3490:2936790 391295:2726:2096236 391296:2697:2095625 158879:919:2839323 158878:5797:2903490 315749:4320:4094013 487214:1395:2245542 260799:3290:5228590 315730:4439:5872378 321967:740:2924179 322159:2803:1863959 203123:46:1780444 203120:328:2075617 451516:3450:2899810 211110:879:2211412 324831:872:1894287 160490:594:1852360 160491:585:1841198 418127:3103:2880095 326423:3215:3918516 416870:1199:2529405 278197:788:1832314 
261594	261594:272299:5503707 
456481	456481:5353:3951229 
399599	399599:3112385:5547252 
267671	267671:1240683:4627220 
189918	189918:187863:6255860 
2371	160492:643605:2731531 183190:2493878:2521002 405441:2512498:2573841 405440:1112831:2475057 
119856	393115:261459:1892543 177416:261589:1892702 418136:71037:1898403 
119857	393011:357310:1895654 458234:357828:1890836 119857:392109:1895921 
623	198215:874545:4599281 198214:881240:4828674 373384:891704:4574211 
621	344609:465099:4874221 300268:458871:4646374 
1224	198215:12877:4599281 198214:6131:4828674 434271:576:2241989 266779:200:4934893 316273:76735:5419787 211586:852:5131278 272943:217:4602466 272944:55:1268682 36870:56:702858 272560:1620:7247401 272947:57:1111450 438753:366:5369699 347834:735:6529717 315456:55:1587021 262698:197:3286299 374930:1413:1812960 374931:1432:1887119 209261:938:4791888 331112:1003:4643465 246195:1543:1389277 246197:477:9139690 452638:87:1560396 291272:40:791581 349124:242:2678379 360109:279:1845033 243365:1998:4751007 377628:720:4646067 400673:573:3576397 362663:991:4938847 320372:1480:7307908 107806:129:655506 397945:4070:5352699 340:742:5078929 418136:255:1898403 160488:1583:6181790 163164:35:1267709 265072:2016:2971444 439375:784:5205339 71421:1453:1830065 177439:636:3659415 416269:540:2274409 334380:3:2008914 259536:431:2650628 326297:1150:4306069 62928:989:4375967 78245:328:5624952 243233:545:3304488 502800:868:4689368 243231:109:3814055 391774:139:3661245 122586:2245:2272287 406425:1012:7971170 340100:2820:5287877 399739:990:5072734 214092:616:4733426 94122:3998:5251000 402882:952:5312764 393011:187:1895654 381666:859:7416459 430066:197:3283790 60480:863:4706214 482957:979:8676058 155864:1043:5620376 314225:1113:3052325 192222:279:1641408 509173:9597:3936218 509170:690:3589856 221988:541:2314005 208963:9886:6537575 223283:904:6538041 203907:36:705484 300269:1185:5054951 1016998:942:4858814 349163:279:3962423 335284:431:3100951 300268:991:4646374 320388:1200:5232255 320389:1135:5848234 391896:46:1528907 321314:6408:4943781 380703:1284:4744375 242231:905:2153849 177416:254:1892702 224915:90:618233 264730:920:6112229 272831:1401:2194888 85963:57:1643758 85962:307:1667794 349101:368:4489161 349102:170:4556689 349747:1072:4934906 254945:358:1512904 76114:832:4727036 292414:206:4153480 292415:440:2909736 292805:35:1080011 316058:164:5331583 338963:495:3665820 331111:1268:5248777 360102:720:4879544 426355:341:6898453 360104:276:2099194 338966:18949:4240900 360106:276:1773542 216596:366:7750798 196600:1008:5259867 367737:355:2341178 338969:227:4969638 290339:5198:4530558 405955:5179:5497434 271848:692:6723826 76869:1327:6078357 300267:990:4560692 279238:271:4233095 207559:4803:3730159 399742:939:4676315 235279:19:1799073 399741:677:5495511 208964:2500:6264331 314565:853:5148635 386585:1007:5594258 357804:1081:4559525 349106:584:2994830 318586:81:5235975 233412:578:1698882 393115:254:1892543 426117:461:7736806 325240:929:5342531 342108:2046:4967075 342109:567:4940144 60481:833:4798963 351746:1493:5959891 392021:55:1257637 198804:136:641381 273121:276:2110282 360115:155:2053598 398580:60:4417430 379731:7424:4567345 386656:717:4725643 114615:249:7456514 159087:847:4501031 373384:983:4574211 204722:197:3315029 393595:1630:3120070 483179:197:3312623 360910:446:3732182 296591:136:5898457 257311:852:4773478 448385:137:13033706 390235:9216:5774257 335543:787:4990178 99287:956:4951225 288000:255:8493367 283942:5869:2839245 444178:197:3275444 323098:93:3402020 399599:938:5547252 164546:844:6476303 394221:168:3368707 374833:1747:2153343 119857:212:1895921 316057:242:4892644 326442:911:3850126 267608:1020:5810776 316056:196:5513771 302409:184:1499847 419610:323:5471081 293613:46:1159699 228405:43:3704948 387662:6:159589 316055:282:5505421 228400:701:2263784 357244:3:2126978 391038:919:8676270 224911:137:9105755 183190:496:2521002 281310:2086:1914417 224914:197:3294785 190485:661:5076115 190486:848:5273955 269796:374:4406411 269799:97:4011036 323848:108:3234017 407148:279:1628042 349746:720:4686795 392500:378:5935330 272568:424:3999372 395495:504:4909330 320373:1538:7040257 266835:91:7596078 266834:385:6691475 273123:792:4840679 335283:35206:2781605 319224:6227:4659147 413404:130:1160709 382640:495:2642258 336407:46:1522003 458817:958:5226844 511145:1223:4641579 398577:1047:7642244 258594:228:5467494 405441:443:2573841 405440:417:2475057 331271:1112:7278897 458234:212:1890836 404589:194:5277917 264203:417:2056290 364106:974:5179825 398578:7257:6767441 398579:1044:5174508 272620:7426:5694456 227377:140:2032528 41514:939:4600727 291331:690:4941366 187272:363:3275871 351348:12677:4779543 359391:199:3278161 272843:471:2257414 360095:467:1444948 228410:174:2812021 420662:227:4643493 205918:890:6093625 398767:265:3994728 381754:10368:6588266 156889:351:4719508 190650:283:4016874 354242:180:1698833 323261:228:3521965 318161:744:4545833 384676:1426:5888707 366394:413:6817284 317025:371:2427661 312153:137:2159417 318167:1532:4845184 357348:1608:7089103 290398:935:3696576 243160:1181:5835381 264198:5143:7254998 212042:46:1471209 335992:19:1308686 223926:1093:5165624 395019:3277:7008330 205914:612:2012732 290397:299:5013406 220664:1169:7074820 257310:629:5339106 363253:108:1718722 220341:8754:5133494 62977:952:3598548 401614:231:1909958 338565:936:4067426 269482:10586:8390486 349521:1087:7215194 269484:45:1314957 199310:1000:5231355 243265:722:5688914 882:142:3773013 257313:563:4086116 96561:88:3944094 205922:1145:6438332 243277:1051:4033318 412022:1082:5742157 167879:880:5373107 374463:144:686121 441952:254:1893813 470137:197:3324461 375286:4056:4110178 323097:90:5011230 176299:335:5673966 257363:57:1111423 205920:53:1176175 382245:1822:5040098 395963:228:4418397 283166:942:1930974 481805:1142:4746145 312309:1321:4273499 366602:103:5889180 290400:73:4403903 232721:78585:4584935 272624:573:3397681 56780:459:3179227 298386:1465:6403061 283165:130:1581311 293614:39:1230987 365044:283:5365486 452659:55:1268128 387092:261:1877858 339670:1218:7528275 339671:722:2319590 187410:720:4701599 360105:282:1971191 416276:42:1376038 218491:875:5063946 434922:140:2212791 345073:1061:4132173 317655:131:3373567 204773:1035:3424234 357544:176:1605590 266264:43659:6913060 266265:26738:9730919 392499:308:5915027 290338:984:4735138 402881:12725:3914672 195099:279:1777758 344609:1022:4874221 229193:717:4802852 382638:274:1557442 323850:960:4602521 216895:932:5126550 425104:439:5517601 297246:578:3635349 372461:64:416307 391735:632:5597797 297245:588:3405373 246200:185:4600902 203122:398:5057458 122587:1377:2184333 338187:1329:6058158 343509:918:4292210 387093:138:2562204 391165:320:2708282 290633:426:2921946 400668:1179:5100271 342610:543:5186932 400667:12508:4001238 316385:3038:4686064 234826:50:1197614 360107:249:1714805 351605:340:5136291 160492:4208:2731531 351745:9074:4708307 393305:730:4683474 484022:181:2049565 412965:114:1022081 405416:3279:3996542 375451:7:4330869 264462:92:3782877 331272:1171:7702548 
267608	267608:5788519:5810776 
1129	321327:127013:2932693 1140:144:2742123 316278:2181:2224841 32051:7355:2366907 269084:136:2696182 110662:6416:2510586 64471:4260:2606675 84588:7746:2434355 316279:5061:2234755 32049:64:3409424 321332:130544:3046609 
629	273123:34297:4840679 349747:23085:4934906 349746:34105:4686795 502800:20685:4689368 229193:33747:4802852 377628:21193:4646067 187410:21337:4701599 360102:33868:4879544 214092:33705:4733426 393305:39059:4683474 386656:34088:4725643 
387662	387662:159547:159589 
264732	264732:2628280:2628711 
416276	416276:948461:1376038 
391038	391038:8651592:8676270 
64187	342109:4381966:4940144 291331:4363659:4941366 
281310	281310:789437:1914417 
279010	279010:8395738:8445096 
281090	281090:2582619:2584085 
436308	436308:1644929:1645186 
171	355278:444:3955870 355276:8157:3931636 189518:5979:4697988 355277:8847:3876089 456481:455:3951229 267671:6211:4627220 
391037	391037:5749524:5786288 
976	272559:426:5241554 444179:32:245457 431947:224:2354813 376686:618:6096799 309807:10:3587182 242619:224:2343403 402612:612:2860309 411154:204:3798392 269798:166:4433145 295405:426:5310844 435590:460:5163116 435591:455:4811306 226186:355:6293253 
266835	266835:7590488:7596078 
266834	266834:6604126:6691475 
406327	406327:1711762:1719975 
319795	319795:3245072:3246799 
206351	272831:810:2194888 243365:1996:4751007 374833:865:2153343 122586:810:2272287 122587:946:2184333 242231:470:2153849 
1502	289380:994863:2921777 195102:1687527:3085594 195103:1667252:3256610 
398579	398579:5067859:5174508 
2	477974:190:2349403 211586:447:5131278 272943:191:4602466 272944:42:1268682 272947:42:1111450 347834:1238:6529717 411154:182:3798392 374930:176:1812960 374931:162:1887119 370551:853:1836394 246194:481:2401447 246195:115:1389277 246196:75:6988136 246197:407:9139690 340322:252:3363153 400673:237:3576397 362663:238:4938847 320372:729:7307908 340:230:5078929 418136:102:1898403 160488:371:6181790 315750:1145:3704392 326297:329:4306069 243233:201:3304488 243230:432:3283864 243231:362:3814055 340100:5312:5287877 214092:204:4733426 299768:708:1796153 295405:219:5310844 155864:398:5620376 388919:561:2388362 226185:468:3359682 223283:260:6538041 441772:1514:4012772 441771:1443:3760487 441770:1395:3863377 195102:1610:3085594 195103:1296:3256610 273119:14:751646 264730:269:6112229 272831:674:2194888 85963:62:1643758 85962:77:1667794 226900:1882:5426937 76114:204:4727036 63737:393:9058753 420246:1564:3607866 370552:963:1928179 290397:332:5013406 370553:2410:1860282 93060:95:1738717 386415:1049:2547647 367830:1671:2917177 315277:34:1051823 349519:510:1896249 234267:93:9965567 207559:373:3730159 410289:26:4374449 290340:8082:5226429 413999:1496:3903114 318586:272:5235975 233413:26:4345419 233412:907:1698882 334390:531:2098612 426117:653:7736806 342108:279:4967075 342109:228:4940144 391009:116:1915165 392021:42:1257637 360115:36:2053598 281309:2025:5314648 296591:123:5898457 288000:132:8493367 170187:568:2160769 373153:568:2046042 319225:77:2364769 228405:99:3704948 228400:202:2263784 190485:223:5076115 190486:223:5273955 269796:268:4406411 269799:318:4011036 269798:539:4433145 321327:146:2932693 320373:398:7040257 289380:1614:2921777 398577:336:7642244 258594:192:5467494 398578:343:6767441 398579:1196:5174508 272621:477:1993487 272620:16402:5694456 272623:722:2365516 272622:750:2597910 41514:238:4600727 272624:237:3397681 272626:580:3092967 420662:55:4643493 186103:894:1894944 208435:882:2160194 190650:166:4016874 318161:440:4545833 317025:246:2427661 312153:76:2159417 203267:38:927230 290399:325:5070186 290398:221:3696576 243160:905:5835381 243161:34:1080305 264198:4246:7254998 264199:708:1796773 243164:5:1469647 269084:244:2696182 223926:639:5165624 395019:3381:7008330 84588:140:2434355 93062:798:2813716 93061:1795:2821288 309807:49:3587182 363253:98:1718722 198466:965:1900448 243265:313:5688914 96561:63:3944094 32051:188:2366907 59920:95:1842826 59922:212:2682602 375286:76:4110178 323097:81:5011230 359786:798:2936983 505682:14:751606 416591:6:2135269 194439:87:2154873 359787:798:2936790 312309:568:4273499 286636:897:1899804 317655:52:3373567 56780:911:3179227 336982:26:4424362 452659:42:1268128 339670:2531:7528275 339671:216:2319590 158879:665:2839323 158878:665:2903490 218491:325:5063946 487214:531:2245542 298653:254:8981969 216389:5:1341819 370438:303:3025302 382638:70:1557442 216895:500:5126550 372461:34:416307 321967:575:2924179 319795:545:3246799 324831:860:1894287 342610:249:5186932 222891:26:858933 370554:1600:1937038 326424:258:7497861 319701:965:1897500 326423:1555:3918516 412965:43:1022081 375451:153:4330869 376686:307:6096799 293653:965:1838489 266779:232:4934893 36870:148:702858 340099:1046:2362743 403833:3777:2169475 218496:38:925865 218497:17:1144304 369723:143:5183258 377628:238:4646067 36809:23:5090345 212717:990:2873187 146891:95:1669813 163164:11:1267709 265072:170:2971444 167542:95:1704103 288681:1876:5842797 455632:426:8545856 431947:212:2354813 431943:880:4023654 122586:1650:2272287 406425:336:7971170 196162:151:5293539 196164:285:3147017 402882:480:5312764 243273:14:580003 430066:402:3283790 78245:305:5624952 192222:105:1641408 221988:210:2314005 1016998:238:4858814 349163:250:3962423 349161:1388:3608031 320388:639:5232255 320389:598:5848234 321314:24728:4943781 380703:680:4744375 306537:2347:2476676 316057:165:4892644 316056:162:5513771 316055:171:5505421 222523:2447:5432506 292414:255:4153480 292415:108:2909736 300852:219:2115837 316058:81:5331583 426355:784:6898453 324602:61:5258468 216596:327:7750798 196600:623:5259867 471473:34:1038790 471472:34:1038769 171101:568:2038542 412694:2023:5312884 224326:98:1519602 314565:223:5148635 182082:17:1225862 226186:165:6293253 386585:318:5594258 357809:744:4847521 357808:170:5801525 357804:204:4559525 59919:95:1657917 351746:330:5959891 351745:406:4708307 198804:37:641381 398580:128:4417430 379731:226:4567345 114615:136:7456514 262724:219:2127336 373384:244:4574211 204722:402:3315029 444178:423:3275444 262723:28:799403 262722:61:920006 351627:3566:2970202 335543:335:4990178 335541:359:2936122 261594:1589:5503707 456481:1072:3951229 399599:490:5547252 189918:47:6255860 119857:102:1895921 93059:107:1688890 267608:320:5810776 262316:42:4829708 387662:7:159589 264732:245:2628711 416276:31:1376038 391038:423:8676270 281310:209:1914417 279010:2194:8445096 281090:91:2584085 391037:128:5786288 266835:318:7596078 266834:315:6691475 254945:731:1512904 387344:530:2340009 203119:1150:3843228 262543:2238:3040567 290317:103:3133829 290318:44:1966785 293613:42:1159699 228410:61:2812021 176280:540:2564104 362948:1093:2133685 221109:834:3630455 290633:512:2921946 357348:993:7089103 448385:438:13033706 335992:26:1308686 247156:269:6292125 381764:2659:1948868 198094:1589:5227220 138119:903:5727461 62977:132:3598548 338565:336:4067426 269482:654:8390486 435590:196:5163116 435591:221:4811306 199310:224:5231355 882:683:3773013 449447:1041:5842722 323848:33:3234017 232721:29886:4584935 331271:336:7278897 167879:423:5373107 441952:102:1893813 470137:455:3324461 257363:42:1111423 382245:3151:5040098 334413:144:1986594 366602:192:5889180 273068:740:2689372 290400:51:4403903 290402:2304:6000559 293614:37:1230987 187410:325:4701599 418127:665:2880095 266940:415:4956453 100226:451:9054628 315730:2017:5872378 74547:216:2410800 74546:95:1709131 392499:879:5915027 498213:1508:4106867 498214:1538:4259545 318167:452:4845184 451516:665:2899810 262768:76:853019 164757:47:6048352 164756:47:5920377 115711:17:1229780 292459:413:3566062 278197:583:1832314 405416:5598:3996542 264462:90:3782877 106370:197:5433555 1140:244:2742123 434271:324:2241989 1148:136:3946654 64471:188:2606675 325240:489:5342531 240292:326:7068309 315456:42:1587021 331111:3563:5248777 321956:1218:1856878 331112:12424:4643465 399726:5135:2457186 357244:30:2126978 467705:605:2196589 83332:26:4411459 360095:256:1444948 259536:76:2650628 62928:190:4375967 455434:244:1139384 402612:234:2860309 94122:458:5251000 443906:184:3395018 482957:338:8676058 271848:274:6723826 177416:102:1892702 335284:76:3100951 167539:130:1751007 335283:63:2781605 391896:42:1528907 355278:1064:3955870 349106:80:2994830 349101:251:4489161 349102:120:4556689 266117:76:3225675 364106:2687:5179825 355276:220:3931636 355277:220:3876089 383372:328:5723225 366394:315:6817284 338963:678:3665820 319224:384:4659147 338966:552:4240900 267747:189:2560192 367737:425:2341178 338969:98:4969638 257314:858:1992603 76869:392:6078357 279238:189:4233095 265669:578:2905114 419947:26:4419904 279808:1018:2684942 316385:24530:4686064 340047:70:1009950 367928:90:2089572 282459:798:2820308 282458:665:2902546 159087:140:4501031 360910:117:3732182 257310:123:5339106 257311:123:4773478 257313:151:4086116 390235:374:5774257 269484:1:1314957 164546:556:6476303 243365:362:4751007 302409:612:1499847 334380:30:2008914 391735:93:5597797 60480:432:4706214 224911:67:9105755 183190:478:2521002 224914:402:3294785 224915:20:618233 407148:105:1628042 392500:517:5935330 169963:578:2944455 483179:402:3312623 262719:61:897332 413404:43:1160709 336407:42:1522003 242619:212:2343403 255470:5:1395429 405441:467:2573841 405440:287:2475057 198215:238:4599281 458234:102:1890836 404589:305:5277917 405566:386:2080858 331272:336:7702548 235909:1548:3592520 227377:36:2032528 288705:136:3155177 269800:124:3642176 156889:459:4719508 416870:750:2529405 167546:95:1641806 398767:306:3994728 205918:5298:6093625 205913:72:2389307 351348:146:4779543 205914:119:2012732 204669:109:5650295 273036:639:2742458 395495:72:4909330 329726:234:10899575 394221:146:3368707 205922:330:6438332 412022:790:5742157 381754:6962:6588266 272562:1719:4132734 176299:392:5673966 390236:86:1201017 391295:510:2096236 391296:480:2095625 405948:378:8212732 195099:105:1777758 283165:256:1581311 197221:165:2593784 295358:61:892685 265311:152:793151 126740:45:1877620 434922:36:2212791 345073:488:4132173 344609:20416:4874221 243090:488:7145503 323850:390:4602521 189518:228:4697988 425104:833:5517601 246200:154:4600902 203122:150:5057458 203123:92:1780444 203120:565:2075617 122587:557:2184333 290434:86:986695 203124:103:7750035 391165:378:2708282 211110:966:2211412 400668:278:5100271 359391:382:3278161 400667:80:4001238 43989:164:5459939 293826:2179:4929493 160490:943:1852360 160491:889:1841198 160492:363:2731531 315749:1901:4094013 326298:603:2201488 322098:90:723605 402881:131:3914672 516950:563:2209125 198214:12944:4828674 316279:188:2234755 316278:98:2224841 323098:81:3402020 316273:5708:5419787 83331:26:4403764 243243:52:5475418 316274:474:6785211 340177:56:2572006 438753:366:5369699 262698:402:3286299 196627:252:3309328 209261:239:4791888 196620:798:2820389 350054:53:5982537 452638:57:1560396 441768:1294:1496919 374833:533:2153343 350058:79:6491792 314315:1526:1884588 107806:36:655506 397945:112:5352699 323261:128:3521965 384676:451:5888707 224308:1611:4215533 416269:176:2274409 349124:164:2678379 365044:110:5365486 436114:261:1838369 272559:198:5241554 272558:1252:4202279 229193:238:4802852 60481:432:4798963 291272:45:791581 314225:59:3052325 509173:10853:3936218 509170:80:3589856 399739:167:5072734 203907:20:705484 426430:665:2878824 391774:263:3661245 193567:838:1894202 386656:254:4725643 362242:26:5631533 242231:705:2153849 266264:13371:6913060 298386:825:6403061 266265:6431:9730919 349747:1239:4934906 349746:279:4686795 110662:190:2510586 504474:12157:2369146 338187:669:6058158 360102:304:4879544 290338:450:4735138 360104:105:2099194 360105:105:1971191 360106:105:1773542 360107:169:1714805 395963:186:4418397 187272:153:3275871 374463:68:686121 350688:527:3123485 399742:259:4676315 235279:46:1799073 32049:174:3409424 208964:199:6264331 208963:143:6537575 267671:228:4627220 103690:435:7211278 393115:102:1892543 381666:536:7416459 458817:560:5226844 390333:1181:1864925 399741:250:5495511 498761:2187:3075334 393595:91:3120070 99287:238:4951225 283942:208:2839245 321332:138:3046609 272632:74:1211630 272633:17:1358560 272631:50:3268130 272635:7:963806 419610:580:5471081 71421:188:1830065 354242:1627:1698833 292805:11:1080011 299033:636:1999545 300269:90484:5054951 300268:243:4646374 300267:48209:4560692 257309:4135:2488562 273121:105:2110282 273123:1337:4840679 444179:26:245457 444177:1431:4817317 342451:798:2577680 31964:163:3403567 511145:16129:4641579 176279:683:2643694 233150:36:1012727 264201:58:2414392 264202:17:1173645 264203:294:2056290 243276:244:1137938 243277:442:4033318 243274:45:1860652 243275:309:2843128 481805:3878:4746145 291331:300:4941366 272843:100:2257414 502800:238:4689368 220668:548:3348332 351607:79:2443467 351605:651:5136291 210007:645:2032852 115713:17:1230157 326442:438:3850126 101510:240:9702445 212042:202:1471209 349521:214:7215194 234826:23:1197614 227882:467:9119749 227941:16:1181210 220341:11756:5133494 386043:580:2814057 216594:26:6659998 66692:966:4303798 382640:254:2642258 331678:774:2736330 272568:508:3999372 205920:3:1176175 205921:2236:2127766 138677:17:1226492 360109:105:1845033 283166:256:1930974 272563:1045:4297987 272560:808:7247401 272561:34:1042446 439375:563:5205339 357544:70:1605590 251221:118:4658946 260799:1589:5228590 204773:76:3424234 935198:1804:3847823 290339:245:4530558 190304:588:2174427 393011:54:1895654 297246:237:3635349 405955:8749:5497434 297245:237:3405373 322159:708:1863959 343509:270:4292210 387093:462:2562204 387092:222:1877858 177439:1202:3659415 401614:78:1909958 167555:62:1864658 393305:303:4683474 484022:138:2049565 390874:12:1823438 220664:260:7074820 206672:72:2260120 
75682	204773:27089:3424234 375286:26204:4110178 
387344	387344:2312530:2340009 
187410	187410:14027:4701599 
197	195099:1117250:1777758 407148:628368:1628042 192222:915926:1641408 354242:754297:1698833 360109:355915:1845033 
653685	224308:21033:4215533 326423:19163:3918516 279010:11359:8445096 
41297	264203:1128:2056290 392499:1103:5915027 279238:1019:4233095 317655:699:3373567 
41295	342108:52:4967075 269796:98:4406411 
41294	316057:6158:4892644 323097:3317:5011230 316055:5190:5505421 316056:4795:5513771 316058:5050:5331583 288000:8370:8493367 224911:7668:9105755 258594:6912:5467494 114615:8744:7456514 323098:2954:3402020 
290317	290317:3130497:3133829 
290318	290318:1940068:1966785 
293613	293613:1146325:1159699 
228410	228410:2805548:2812021 
355277	355277:258230:3876089 
176280	176280:677996:2564104 
362948	362948:2125150:2133685 
221109	221109:3622680:3630455 
272631	272631:3266375:3268130 
63737	63737:9045429:9058753 
324831	324831:1855499:1894287 
357348	357348:598673:7089103 
448385	448385:13033053:13033706 
335992	335992:1308567:1308686 
18	338963:4:3665820 338966:45:4240900 
381764	381764:1945595:1948868 
118882	204722:8376:3315029 444178:8167:3275444 483179:8235:3312623 359391:7871:3278161 470137:8199:3324461 224914:7821:3294785 262698:8092:3286299 430066:8092:3283790 439375:9954:5205339 
118883	273063:496:2694683 399549:811:2191444 273057:238:2992172 330779:102:2225886 
138119	138119:5725039:5727461 
62977	62977:3579475:3598548 
28890	348780:3:2749477 69014:59:2088664 267377:108:1661064 420247:30:1853087 272569:6:4273985 269797:7:4873620 259564:30:2574959 478009:2:2668411 444158:108:1744120 406327:146:1719975 186497:23:1908183 349307:48:1879398 70601:23:1738432 64091:2:2570791 224325:101:2178327 419665:68:1569427 243232:60:1664897 190192:10:1694896 272844:23:1768416 402880:108:1788900 426368:108:1772621 368407:21:2478028 187420:32:1751304 
288681	288681:2960110:5842797 
338565	338565:4045915:4067426 
269482	269482:7856451:8390486 
435590	435590:5094963:5163116 
435591	435591:4787872:4811306 
199310	199310:998161:5231355 
882	882:1583171:3773013 
881	882:2186908:3773013 391774:2187225:3661245 
323848	323848:3232599:3234017 
232721	232721:4412202:4584935 
331271	331271:64650:7278897 
167879	167879:5365377:5373107 
262543	262543:3033738:3040567 
470137	470137:221184:3324461 
257363	257363:1076399:1111423 
399549	399549:2190630:2191444 
382245	382245:4940901:5040098 
68295	399726:532:2457186 264732:1:2628711 246194:4:2401447 351627:610:2970202 340099:8:2362743 273068:193:2689372 
334413	334413:1980407:1986594 
366602	366602:5881388:5889180 
1883	455632:17695:8545856 100226:25878:9054628 227882:29192:9119749 
290400	290400:4402202:4403903 
290402	290402:5976982:6000559 
301448	193567:243922:1894202 198466:244784:1900448 
335543	335543:4979706:4990178 
293614	293614:1167031:1230987 
90370	209261:1950545:4791888 220341:1954397:5133494 
160491	160491:201107:1841198 
301447	160490:226537:1852360 293653:226464:1838489 
203804	203907:293:705484 291272:323:791581 
319701	319701:228730:1897500 
266940	266940:4951792:4956453 
100226	100226:9023875:9054628 
272843	272843:2240860:2257414 
315730	315730:5644326:5872378 
74547	74547:2129407:2410800 
186802	477974:36:2349403 203119:362:3843228 272562:388:4132734 272563:1637:4297987 335541:125:2936122 290402:1380:6000559 289380:740:2921777 350688:1302:3123485 212717:264:2873187 498213:610:4106867 413999:585:3903114 935198:781:3847823 386415:492:2547647 357809:337:4847521 370438:257:3025302 431943:279:4023654 498214:607:4259545 498761:819:3075334 293826:1459:4929493 441772:590:4012772 441771:518:3760487 441770:518:3863377 138119:751:5727461 349161:154:3608031 195102:636:3085594 292459:197:3566062 195103:592:3256610 
777	434922:1692982:2212791 360115:1921042:2053598 227377:1952701:2032528 
186807	477974:45:2349403 370438:80:3025302 349161:631:3608031 138119:138:5727461 
32046	269084:2563851:2696182 1140:2564004:2742123 
209	85963:8356:1643758 85962:9198:1667794 382638:16986:1557442 235279:204:1799073 357544:8795:1605590 
498213	498213:1633576:4106867 
779	302409:651040:1499847 254945:650860:1512904 
498214	498214:2972549:4259545 
272844	272844:1763593:1768416 
322098	322098:687302:723605 
75	366602:6505:5889180 190650:6886:4016874 
318167	318167:4799280:4845184 
80811	404589:168:5277917 290397:268:5013406 246197:539:9139690 
28450	320373:1515735:7040257 320372:2130329:7307908 272560:2003542:7247401 357348:2026754:7089103 
576610	452638:4414:1560396 312153:4613:2159417 
266265	266265:9601448:9730919 
95486	331271:6726535:7278897 331272:6822750:7702548 406425:2781208:7971170 
451516	451516:9016:2899810 
262768	262768:805476:853019 
164757	164757:2396767:6048352 
164756	164756:12457:5920377 
115711	115711:2225:1229780 
171101	171101:5457:2038542 
395495	395495:4902302:4909330 
2236	478009:317:2668411 272569:680:4273985 348780:292:2749477 64091:279:2570791 
33990	391896:1355421:1528907 336407:1360743:1522003 
323259	323259:3543733:3544665 
64895	224326:23503:1519602 290434:32503:986695 390236:33390:1201017 
1763	419947:3078:4419904 350054:269125:5982537 410289:3064:4374449 272631:1186:3268130 164757:3649668:6048352 336982:3057:4424362 233413:3050:4345419 83332:3078:4411459 262316:4894:4829708 83331:3111:4403764 243243:5885:5475418 350058:149846:6491792 36809:53151:5090345 216594:2783071:6659998 189918:6066165:6255860 362242:2746083:5631533 246196:9974:6988136 164756:5906088:5920377 
